Epoch,Accuracy,Precision,Recall,F1,AUROC
1,0.2857142857142857,0.15238095238095237,0.25,0.17714285714285713,0.8492424242424242
2,0.7857142857142857,0.9,0.7833333333333333,0.798095238095238,0.9256060606060605
3,0.8571428571428571,0.9199999999999999,0.8333333333333333,0.8433333333333334,0.9545454545454545
4,0.9285714285714286,0.95,0.9,0.9047619047619048,0.968939393939394
5,0.9285714285714286,0.95,0.9,0.9047619047619048,0.9833333333333334
6,0.9285714285714286,0.95,0.9,0.9047619047619048,1.0
7,0.9285714285714286,0.95,0.9,0.9047619047619048,1.0
8,0.9285714285714286,0.95,0.9,0.9047619047619048,1.0
9,0.9285714285714286,0.95,0.9,0.9047619047619048,1.0
10,0.9285714285714286,0.95,0.9,0.9047619047619048,1.0
