Epoch,Accuracy,Precision,Recall,F1,AUROC
1,0.21428571428571427,0.13636363636363638,0.2333333333333333,0.15714285714285714,0.7119696969696969
2,0.5,0.48,0.4833333333333333,0.4133333333333333,0.7981818181818182
3,0.7142857142857143,0.7533333333333333,0.7333333333333333,0.7166666666666666,0.9745454545454546
4,0.7857142857142857,0.82,0.7833333333333333,0.7814285714285715,0.968939393939394
5,0.8571428571428571,0.85,0.8333333333333333,0.8314285714285713,0.968939393939394
6,0.8571428571428571,0.85,0.8333333333333333,0.8314285714285713,0.975
7,0.8571428571428571,0.85,0.8333333333333333,0.8314285714285713,0.9916666666666668
8,0.8571428571428571,0.85,0.8333333333333333,0.8314285714285713,0.9916666666666668
9,0.8571428571428571,0.85,0.8333333333333333,0.8314285714285713,0.9916666666666668
10,0.8571428571428571,0.85,0.8333333333333333,0.8314285714285713,0.9916666666666668
