Strategy,TotalTime_sec,PeakMemory_GB,Epochs,BatchSize,TrainableParams
convex,79.14066362380981,11.436299800872803,10,64,108314117
nonconvex,78.87698578834534,11.436299800872803,10,64,108314117
multistage,79.05427765846252,11.436299800872803,10,64,108314117
