Strategy,TotalTime_sec,PeakMemory_GB,Epochs,BatchSize,TrainableParams
convex,82.88038611412048,13.500059127807617,10,64,108314117
nonconvex,81.96649479866028,13.500059127807617,10,64,108314117
multistage,81.96937131881714,13.50230598449707,10,64,108314117
