Strategy,TotalTime_sec,PeakMemory_GB,Epochs,BatchSize,TrainableParams
convex,19.79438066482544,13.562117576599121,10,64,108314117
nonconvex,20.094581842422485,13.562117576599121,10,64,108314117
multistage,20.05553960800171,13.563094139099121,10,64,108314117
