Epoch,Symptom,Precision,Recall,F1,AUROC
1,pain,0.6666666666666666,0.4,0.5,0.7857142857142858
1,fever,0.8,0.8,0.8,0.9571428571428572
1,cough,0.5,0.3333333333333333,0.4,0.7708333333333333
1,seizure,0.3333333333333333,0.5,0.4,0.7647058823529411
1,confusion,0.6666666666666666,1.0,0.8,0.9333333333333333
2,pain,0.7142857142857143,1.0,0.8333333333333334,0.8857142857142857
2,fever,1.0,0.8,0.8888888888888888,0.9714285714285714
2,cough,0.0,0.0,0.0,0.7291666666666666
2,seizure,1.0,0.5,0.6666666666666666,0.9705882352941176
2,confusion,0.5714285714285714,1.0,0.7272727272727273,1.0
3,pain,0.7142857142857143,1.0,0.8333333333333334,0.8857142857142857
3,fever,0.75,0.6,0.6666666666666666,0.8857142857142857
3,cough,0.0,0.0,0.0,0.7083333333333333
3,seizure,1.0,1.0,1.0,1.0
3,confusion,0.6,0.75,0.6666666666666666,0.7666666666666666
4,pain,0.6,0.6,0.6,0.9142857142857143
4,fever,0.75,0.6,0.6666666666666666,0.8857142857142857
4,cough,0.2,0.3333333333333333,0.25,0.75
4,seizure,0.6666666666666666,1.0,0.8,1.0
4,confusion,1.0,0.5,0.6666666666666666,0.95
5,pain,0.6666666666666666,0.4,0.5,0.9428571428571428
5,fever,0.75,0.6,0.6666666666666666,0.9571428571428572
5,cough,0.14285714285714285,0.3333333333333333,0.2,0.75
5,seizure,0.6666666666666666,1.0,0.8,1.0
5,confusion,1.0,0.5,0.6666666666666666,0.9833333333333334
6,pain,0.75,0.6,0.6666666666666666,0.9285714285714286
6,fever,1.0,0.6,0.75,0.9714285714285714
6,cough,0.2857142857142857,0.6666666666666666,0.4,0.75
6,seizure,0.6666666666666666,1.0,0.8,1.0
6,confusion,1.0,0.5,0.6666666666666666,0.9666666666666667
7,pain,0.75,0.6,0.6666666666666666,0.9285714285714286
7,fever,1.0,0.6,0.75,0.9714285714285714
7,cough,0.2857142857142857,0.6666666666666666,0.4,0.8125
7,seizure,1.0,1.0,1.0,1.0
7,confusion,1.0,0.75,0.8571428571428571,0.9666666666666667
8,pain,0.75,0.6,0.6666666666666666,0.9285714285714286
8,fever,1.0,0.6,0.75,1.0
8,cough,0.2857142857142857,0.6666666666666666,0.4,0.8125
8,seizure,1.0,1.0,1.0,1.0
8,confusion,1.0,0.75,0.8571428571428571,0.9666666666666667
9,pain,0.8,0.8,0.8,0.9285714285714286
9,fever,1.0,0.6,0.75,1.0
9,cough,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.8125
9,seizure,1.0,1.0,1.0,1.0
9,confusion,1.0,0.75,0.8571428571428571,0.9666666666666667
10,pain,0.8,0.8,0.8,0.9285714285714286
10,fever,1.0,0.6,0.75,1.0
10,cough,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.8125
10,seizure,1.0,1.0,1.0,1.0
10,confusion,1.0,0.75,0.8571428571428571,0.9666666666666667
